IdReporte;CodigoPdv;NombrePdv;TiempoPos;TiempoTotal
22;229;HEROES 1;03/07/2015 08:11;85
22;237;COUNTRY 2;03/07/2015 08:16;23
22;268;PLUS No. 2 COUNTRY;03/07/2015 08:20;114
22;268;PLUS No. 2 COUNTRY;03/07/2015 08:26;21
22;268;PLUS No. 2 COUNTRY;03/07/2015 08:33;40
22;268;PLUS No. 2 COUNTRY;03/07/2015 08:48;30
22;268;PLUS No. 2 COUNTRY;03/07/2015 08:50;30
22;268;PLUS No. 2 COUNTRY;03/07/2015 08:50;35
22;268;PLUS No. 2 COUNTRY;03/07/2015 08:59;18
22;268;PLUS No. 2 COUNTRY;03/07/2015 09:16;57
22;229;HEROES 1;03/07/2015 09:20;73
22;268;PLUS No. 2 COUNTRY;03/07/2015 09:26;69
22;268;PLUS No. 2 COUNTRY;03/07/2015 09:50;29
22;229;HEROES 1;03/07/2015 10:04;54
22;268;PLUS No. 2 COUNTRY;03/07/2015 10:20;61
22;268;PLUS No. 2 COUNTRY;03/07/2015 10:20;67
22;268;PLUS No. 2 COUNTRY;03/07/2015 10:23;75
22;268;PLUS No. 2 COUNTRY;03/07/2015 10:23;11
22;268;PLUS No. 2 COUNTRY;03/07/2015 10:35;12
22;268;PLUS No. 2 COUNTRY;03/07/2015 10:38;78
22;268;PLUS No. 2 COUNTRY;03/07/2015 10:45;30
22;268;PLUS No. 2 COUNTRY;03/07/2015 10:46;7
22;268;PLUS No. 2 COUNTRY;03/07/2015 10:57;11
22;268;PLUS No. 2 COUNTRY;03/07/2015 11:23;50
22;268;PLUS No. 2 COUNTRY;03/07/2015 11:29;59
22;268;PLUS No. 2 COUNTRY;03/07/2015 11:30;108
22;268;PLUS No. 2 COUNTRY;03/07/2015 11:50;58
22;268;PLUS No. 2 COUNTRY;03/07/2015 11:50;67
22;268;PLUS No. 2 COUNTRY;03/07/2015 12:00;14
22;268;PLUS No. 2 COUNTRY;03/07/2015 12:07;49
22;268;PLUS No. 2 COUNTRY;03/07/2015 12:19;48
22;237;COUNTRY 2;03/07/2015 12:26;28
22;268;PLUS No. 2 COUNTRY;03/07/2015 13:20;94
22;237;COUNTRY 2;03/07/2015 13:34;25
22;268;PLUS No. 2 COUNTRY;03/07/2015 13:46;47
22;268;PLUS No. 2 COUNTRY;03/07/2015 13:50;30
22;268;PLUS No. 2 COUNTRY;03/07/2015 13:50;125
22;237;COUNTRY 2;03/07/2015 13:57;17
22;237;COUNTRY 2;03/07/2015 13:58;19
22;229;HEROES 1;03/07/2015 14:08;41
22;229;HEROES 1;03/07/2015 14:20;49
22;268;PLUS No. 2 COUNTRY;03/07/2015 14:21;47
22;268;PLUS No. 2 COUNTRY;03/07/2015 14:27;46
22;268;PLUS No. 2 COUNTRY;03/07/2015 14:46;47
22;229;HEROES 1;03/07/2015 14:50;50
22;268;PLUS No. 2 COUNTRY;03/07/2015 15:09;84
